Day-ahead prices in EUR/MWh;
07/01/22;DK1
00 - 01;128.92
01 - 02;116.65
02 - 03;100.54
03 - 04;99.47
04 - 05;101.74
05 - 06;114.99
06 - 07;140.19
07 - 08;152.64
08 - 09;160.97
09 - 10;161.85
10 - 11;161.37
11 - 12;166.06
12 - 13;166.54
13 - 14;165.97
14 - 15;165.36
15 - 16;185.03
16 - 17;201.56
17 - 18;243.11
18 - 19;247.72
19 - 20;187.5
20 - 21;160.5
21 - 22;157.95
22 - 23;153.9
23 - 00;144.76
;
Min;99.47
Max;247.72
Average;157.72
Peak;184.42
Off-peak1;119.39
Off-peak2;154.28
07/01/22;DK1
