Day-ahead prices in EUR/MWh;
06/01/22;DK1
00 - 01;99.85
01 - 02;101.32
02 - 03;110.01
03 - 04;111.55
04 - 05;123.37
05 - 06;149.94
06 - 07;121.09
07 - 08;193.79
08 - 09;228.92
09 - 10;212.9
10 - 11;215.5
11 - 12;231.9
12 - 13;226
13 - 14;209.2
14 - 15;216.06
15 - 16;230.77
16 - 17;245.95
17 - 18;274.11
18 - 19;273.44
19 - 20;219.77
20 - 21;217.91
21 - 22;203.31
22 - 23;171.31
23 - 00;124.7
;
Min;99.85
Max;274.11
Average;188.03
Peak;232.04
Off-peak1;126.37
Off-peak2;179.31
06/01/22;DK1
